"FECHA","TIPO","NUMERO","R.C.","ORDEN DE","DETALLE","DEB/HAB","GRAVADO","I.V.A.","NO INS.","MON.","GRAVADO","I.V.A.","NO INS.","IVA PER."
050315,"FAP",000100073407,"MAT","   P2470","                       ","H",         5699.61,         1196.92,            0.00,1,            0.00,            0.00,            0.00,            0.00
050315,"FAP",000100109180,"MAT","   P0729","                       ","H",          703.46,          147.73,            0.00,1,            0.00,            0.00,            0.00,            0.00
050315,"FAP",001400020408,"MAT","   P2188","                       ","H",          169.40,           35.57,            0.00,1,            0.00,            0.00,            0.00,            0.00
070315,"FAP",002900004699,"AD9","   P2119","                       ","H",           60.33,           12.67,            0.00,1,            0.00,            0.00,            0.00,            0.00
100315,"FAP",000100028935,"MAT","   P2379","                       ","H",         1113.56,          233.85,            0.00,1,            0.00,            0.00,            0.00,            0.00
100315,"FAP",000100046797,"MAT","   P2134","                       ","H",         1212.20,          254.56,            0.00,1,            0.00,            0.00,            0.00,            0.00
100315,"FAP",000200086250,"MAT","   P0571","                       ","H",          139.90,           29.38,            0.00,1,            0.00,            0.00,            0.00,            0.00
100315,"FAP",001300019453,"AD9","   P2032","                       ","H",          120.65,           25.34,            0.00,1,            0.00,            0.00,            0.00,            0.00
100315,"FAP",003500034988,"AD9","   P0999","                       ","H",          937.77,          196.93,            0.00,1,            0.00,            0.00,            0.00,            0.00
110315,"FAP",000200086260,"MAT","   P0571","                       ","H",           66.12,           13.89,            0.00,1,            0.00,            0.00,            0.00,            0.00
120315,"FAP",000100006444,"AD9","   P1117","                       ","H",          400.00,           84.00,            0.00,1,            0.00,            0.00,            0.00,            0.00
120315,"FAP",000100020689,"MAT","   P2275","                       ","H",         7840.00,         1646.40,            0.00,1,            0.00,            0.00,            0.00,            0.00
120315,"FAP",000200086274,"MAT","   P0571","                       ","H",           26.50,            5.57,            0.00,1,            0.00,            0.00,            0.00,            0.00
120315,"FAP",000400044363,"MAT","   P0921","                       ","H",          238.50,           50.09,            0.00,1,            0.00,            0.00,            0.00,            0.00
130315,"FAP",000100046832,"MAT","   P2134","                       ","H",           60.00,           12.60,            0.00,1,            0.00,            0.00,            0.00,            0.00
140315,"FAP",000500010390,"AD9","   P2530","                       ","H",         3107.44,          652.56,            0.00,1,            0.00,            0.00,            0.00,            0.00
160315,"FAP",000400000375,"AD9","   P2531","                       ","H",          512.00,          107.52,            0.00,1,            0.00,            0.00,            0.00,            0.00
170315,"FAP",000400009327,"MAT","   P1104","                       ","H",          264.47,           55.54,            0.00,1,            0.00,            0.00,            0.00,            0.00
170315,"FAP",001400020500,"AD9","   P2188","                       ","H",           40.27,            8.46,            0.00,1,            0.00,            0.00,            0.00,            0.00
180315,"FAP",000100002148,"MAT","   P0053","                       ","H",         3960.00,          831.60,            0.00,1,            0.00,            0.00,            0.00,            0.00
180315,"FAP",000100046648,"AD9","   P2392","                       ","H",          120.87,           25.38,            0.00,1,            0.00,            0.00,            0.00,            0.00
180315,"FAP",000500042512,"MAT","   P2381","                       ","H",         3083.70,          647.58,            0.00,1,            0.00,            0.00,            0.00,            0.00
190315,"FAP",000100001012,"MAT","   P2355","                       ","H",        16976.70,         3565.11,            0.00,1,            0.00,            0.00,            0.00,            0.00
190315,"FAP",000100002407,"MAT","   P1125","                       ","H",          266.70,           56.01,            0.00,1,            0.00,            0.00,            0.00,            0.00
190315,"FAP",000100009175,"MAT","   P0880","                       ","H",          320.00,           67.20,            0.00,1,            0.00,            0.00,            0.00,            0.00
190315,"FAP",100100198151,"MAT","   P0898","                       ","H",         1701.97,          357.41,            0.00,1,            0.00,            0.00,            0.00,            0.00
200315,"FAP",001300019864,"AD9","   P2032","                       ","H",          120.87,           25.38,            0.00,1,            0.00,            0.00,            0.00,            0.00
250315,"FAP",000300415119,"AD9","   P2369","                       ","H",           71.87,           15.09,            0.00,1,            0.00,            0.00,            0.00,            0.00
300315,"FAP",000400004613,"AD9","   P0570","                       ","H",           21.62,            4.54,            0.00,1,            0.00,            0.00,            0.00,            0.00
