"FECHA","TIPO","NUMERO","R.C.","ORDEN DE","DETALLE","DEB/HAB","GRAVADO","I.V.A.","NO INS.","MON.","GRAVADO","I.V.A.","NO INS.","IVA PER.","0"
"150515","FAP","000200000479","AD9","P1037","","H","305.79","64.22","0.00","1","0.00","0.00","0.00","0.00","370.01"
"020315","FAP","000500079921","AD9","P2431","","H","305.68","64.19","0.00","1","0.00","0.00","0.00","0.00","369.87"
"050115","FAP","000300011547","PRP","P2161","","H","304.44","63.93","0.00","1","0.00","0.00","0.00","0.00","368.37"
"290115","FAP","000400008783","AD9","P1104","","D","304.20","63.88","0.00","1","0.00","0.00","0.00","0.00","368.08"
"010415","FAP","000100004010","AD9","P2519","","H","3025.00","635.25","0.00","1","0.00","0.00","0.00","0.00","3660.25"
"010515","FAP","000100006613","AD9","P1117","","H","300.00","63.00","0.00","1","0.00","0.00","0.00","0.00","363"
"200115","FAP","000100000982","MAT","P2355","","D","2990.00","627.90","0.00","1","0.00","0.00","0.00","0.00","3617.9"
"060415","FAP","000100000332","AD9","P2523","","H","298.00","62.58","0.00","1","0.00","0.00","0.00","0.00","360.58"
"210415","FAP","000400009727","AD9","P1104","","H","293.38","61.61","0.00","1","0.00","0.00","0.00","0.00","354.99"
"020115","FAP","000800042065","AD5","P2521","","D","291.82","61.28","0.00","1","0.00","0.00","0.00","0.00","353.1"
"010315","FAP","016108781218","AD9","P2084","","H","2907.04","610.48","0.00","1","0.00","0.00","0.00","0.00","3517.52"
"150515","FAP","000300065634","AD9","P0570","","H","29.77","6.25","0.00","1","0.00","0.00","0.00","0.00","36.019999999999996"
"190215","FAP","000400003780","AD9","P0570","","H","29.64","6.22","0.00","1","0.00","0.00","0.00","0.00","35.86"
"080115","FAP","000100170147","PRP","P0526","","H","287.60","60.40","0.00","1","0.00","0.00","0.00","0.00","348"
"050515","FAP","000100038638","AD9","P2534","","H","2867.75","602.23","0.00","1","0.00","0.00","0.00","0.00","3469.98"
"020315","FAP","000100007863","MAT","P0020","","H","2800.00","588.00","0.00","1","0.00","0.00","0.00","0.00","3388"
"010415","FAP","000100007863","MAT","P0020","","H","2800.00","588.00","0.00","1","0.00","0.00","0.00","0.00","3388"
"160115","FAP","000100006275","PRP","P1117","","H","280.00","58.80","0.00","1","0.00","0.00","0.00","0.00","338.8"
"220515","FAP","000300065711","MAT","P0570","","H","272.99","57.33","0.00","1","0.00","0.00","0.00","0.00","330.32"
"010315","FAP","010600531918","FA3","P2178","","H","266.78","72.03","0.00","1","0.00","0.00","0.00","0.00","338.80999999999995"
"190315","FAP","000100002407","MAT","P1125","","H","266.70","56.01","0.00","1","0.00","0.00","0.00","0.00","322.71"
"170315","FAP","000400009327","MAT","P1104","","H","264.47","55.54","0.00","1","0.00","0.00","0.00","0.00","320.01000000000005"
"060215","FAP","000200085926","MAT","P0571","","H","26.50","5.57","0.00","1","0.00","0.00","0.00","0.00","32.07"
"120315","FAP","000200086274","MAT","P0571","","H","26.50","5.57","0.00","1","0.00","0.00","0.00","0.00","32.07"
"280515","FAP","000100001032","MAT","P2355","","H","25220.00","5296.20","0.00","1","0.00","0.00","0.00","0.00","30516.2"
"020315","FAP","111400011480","AD9","P2527","","H","247.81","52.04","0.00","1","0.00","0.00","0.00","0.00","299.85"
"090215","FAP","000100000995","MAT","P2355","","H","24505.05","5146.06","0.00","1","0.00","0.00","0.00","0.00","29651.11"
"240415","FAP","000200006469","AD9","P1104","","H","244.05","51.25","0.00","1","0.00","0.00","0.00","0.00","295.3"
"210115","FAP","000900014150","GV1","P2193","","H","238.84","25.08","0.00","1","0.00","0.00","0.00","0.00","263.92"
"120315","FAP","000400044363","MAT","P0921","","H","238.50","50.09","0.00","1","0.00","0.00","0.00","0.00","288.59000000000003"
"020315","FAP","000100000297","AD9","P2523","","H","235.00","49.35","0.00","1","0.00","0.00","0.00","0.00","284.35"
"020415","FAP","000100000297","AD9","P2523","","H","235.00","49.35","0.00","1","0.00","0.00","0.00","0.00","284.35"
"070115","FAP","000100022100","PRP","P2421","","H","2347.96","493.07","0.00","1","0.00","0.00","0.00","0.00","2841.03"
"140115","FAP","000200000192","PRP","P2524","","H","234.00","49.14","0.00","1","0.00","0.00","0.00","0.00","283.14"
"050215","FAP","000400008860","MAT","P1104","","H","232.64","48.85","0.00","1","0.00","0.00","0.00","0.00","281.49"
"140515","FAP","001400020838","AD9","P2188","","H","228.53","47.99","0.00","1","0.00","0.00","0.00","0.00","276.52"
